Player Name,Club,Annual wage in EUR,Non-Penalty Goals,Shots Total,Assists,Shot-Creating Actions,Passes Attempted,Pass Completion ,Progressive Passes,Progressive Carries,Successful Take-Ons,Touches (Att Pen),Progressive Passes Rec,Tackles,Interceptions,Blocks,Clearances,Aerials Won,Goals Against,Save Percentage,Save% (Penalty Kicks),Clean Sheet Percentage,Touches,Launch %,Goal Kicks,Avg. Length of Goal Kicks,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Max Aarons,Bournemouth,2114812,0,0.15,0.08,1.62,42.92,0.77,3.24,1.7,1,0.85,1.93,2.23,0.46,0.69,1.93,0.39,,,,,,,,,,,
Brenden Aaronson,Union Berlin,2760000,0.13,1.3,0.06,3.05,32.99,0.754,3.38,2.08,1.88,3.57,5.65,2.14,0.32,2.01,0.32,0.97,,,,,,,,,,,
Paxten Aaronson,Vitesse,240000,0.27,2.66,0,3.25,31.75,0.803,3.39,2.86,0.66,4.32,5.18,2.72,0.46,1.39,0.66,0.73,,,,,,,,,,,
Keyliane Abdallah,Marseille,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Yunis Abdelhamid,Reims,1200000,0.09,0.69,0.03,0.88,60.38,0.842,4.67,1.29,0.34,1.13,0.31,2.1,1.35,1.6,3.45,2.19,,,,,,,,,,,
Salis Abdul Samed,Lens,840000,0,0.26,0,1.6,49.83,0.891,4.21,0.71,0.37,0.52,1.01,1.34,0.82,0.75,1.12,0.3,,,,,,,,,,,
Laurent Abergel,Lorient,720000,0.03,0.77,0.03,2.26,58.72,0.852,6.23,1.19,1.42,0.33,1.54,2.52,1.9,0.95,1.87,0.45,,,,,,,,,,,
Matthis Abline,Nantes,540000,0.45,3.97,0,3.52,20.04,0.698,1.62,2.62,1.53,6.05,7.85,0.63,0.18,0.27,0.45,1.44,,,,,,,,,,,
Abner,Real Betis,1000000,0,0.34,0.05,1.2,52.89,0.762,2.78,1.2,0.62,1.82,4.17,1.63,0.96,1.29,3.36,0.82,,,,,,,,,,,
Zakaria Aboukhlal,Toulouse,300000,0.38,3.35,0,2.77,24.68,0.733,2.68,3.06,0.96,4.97,9.37,1.43,0.1,1.05,0.29,0.77,,,,,,,,,,,
Abdel Abqar,Alavés,,0,0.33,0,0.45,29.93,0.732,1.98,0.29,0.12,0.74,0,1.36,0.83,1.2,4.46,1.41,,,,,,,,,,,
Tammy Abraham,Roma,5770000,0.19,1.33,0,1.33,19.07,0.44,1.53,1.33,0.57,3.81,6.29,0.57,0.19,0.57,1.53,3.62,,,,,,,,,,,
Francesco Acerbi,Internazionale,2780000,0.09,0.61,0.06,0.67,63.79,0.892,3.1,0.85,0.09,0.97,0.82,0.97,1.34,0.76,3.16,2.58,,,,,,,,,,,
Joshua Acheampong,Chelsea,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Marcos Acuña,Sevilla,2900000,0.05,0.73,0.16,3.07,54.93,0.739,3.86,1.93,0.89,0.57,3.18,1.98,0.36,0.89,1.51,0.89,,,,,,,,,,,
Bénie Adama Traore,Nantes,,0,0.65,0.11,2.06,21.8,0.706,2.17,2.93,1.52,3.25,6.07,1.3,0.22,0.65,0.22,0.33,,,,,,,,,,,
Akor Adams,Montpellier,,0.33,3.23,0.04,1.7,15.44,0.643,0.7,1.61,0.58,4.55,5.13,0.5,0.21,0.33,0.46,2.19,,,,,,,,,,,
Tyler Adams,Bournemouth,3625393,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Junior Adamu,Freiburg,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
