position,league,age,goals,assists,annual_wage,non_penalty_goals,shots_total,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,goals_against,save_%,save%_penalty_kicks,clean_sheet_%,touches,launch_%,goal_kicks,avg_length_goal_kicks,crosses_stopped_%,def_actions_outside_pen_area,avg_distance_def_actions,penalty_play,play_time
"DF,FW",Premier League,34.0,0,0,3021160.0,0.11,0.11,2.16,64.15,0.831,5.08,0.97,0.0,0.43,2.49,0.76,0.54,0.76,1.84,1.41,,,,,,,,,,,,-0.3573753679181039,-1.9169781274364168
DF,Premier League,21.0,0,0,1812696.0,0.0,0.72,0.83,34.55,0.865,2.48,1.45,0.62,0.93,1.66,1.66,0.31,0.83,1.34,0.21,,,,,,,,,,,,-0.3573753679181039,-1.5783104514933906
GK,Premier League,26.0,0,0,7250785.0,,,,,0.0,,,,,,,,,,,0.78,6.67,,3.33,33.11,3.02,3.33,38.2,1.32,1.0,13.5,-0.3573753679181039,-2.0175325807708493
"FW,MF",Premier League,21.0,0,0,1510580.0,0.0,1.02,0.85,25.79,0.781,1.37,1.37,0.51,1.54,2.9,2.9,0.17,1.88,1.71,0.68,,,,,,,,,,,,-0.3573753679181039,-1.6388089140666913
FW,Bundesliga,28.0,1,0,120000.0,0.15,2.04,1.89,27.63,0.579,1.45,1.02,0.44,4.51,5.09,0.44,0.15,1.16,1.31,6.54,,,,,,,,,,,,-0.3573753679181039,-1.469286598424374
DF,Premier League,26.0,0,2,5438089.0,0.0,0.22,1.3,50.27,0.837,3.85,1.43,0.82,1.51,2.77,2.38,2.16,1.34,3.5,0.99,,,,,,,,,,,,-0.3573753679181039,0.4209612390930312
GK,La Liga,28.0,0,0,500000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.757922212778278
DF,Serie A,27.0,0,0,1280000.0,0.0,0.35,2.09,40.43,0.691,2.23,1.6,0.42,0.56,4.53,1.46,0.49,0.84,1.12,0.42,,,,,,,,,,,,-0.3573753679181039,-0.16870079515180894
DF,Ligue 1,21.0,2,0,900000.0,0.11,0.58,0.63,64.57,0.88,3.7,0.42,0.48,0.95,0.11,2.75,1.37,1.96,3.38,1.64,,,,,,,,,,,,-0.3573753679181039,0.37454794087238846
"FW,MF",Serie A,26.0,3,3,770000.0,0.18,2.25,3.06,34.5,0.799,3.06,3.24,1.98,2.34,4.5,1.71,0.36,1.53,0.63,0.9,,,,,,,,,,,,1.3199990103336146,-0.8317821918217136
"FW,MF",Ligue 1,29.0,2,1,320000.0,0.31,2.01,5.41,49.33,0.796,4.64,6.03,1.55,3.87,10.67,1.55,0.62,0.62,0.62,0.93,,,,,,,,,,,,-0.3573753679181039,-1.3049093163542773
"FW,MF",Premier League,31.0,7,1,7855017.0,0.26,1.65,2.35,30.04,0.756,3.21,1.89,0.79,3.44,4.83,1.42,0.53,0.83,0.56,0.83,,,,,,,,,,,,-0.3573753679181039,2.1685949268543707
MF,Ligue 1,30.0,2,0,1100000.0,0.0,1.26,1.79,48.74,0.831,5.94,0.85,1.18,0.69,0.98,1.83,1.02,1.22,1.3,1.71,,,,,,,,,,,,2.997373388585333,1.5655453843258407
DF,La Liga,25.0,1,0,350000.0,0.05,0.35,0.4,39.85,0.797,2.02,0.35,0.05,0.61,0.2,1.06,1.16,1.46,4.34,1.92,,,,,,,,,,,,-0.3573753679181039,0.20116375809046091
"FW,MF",La Liga,31.0,6,1,380000.0,0.43,2.14,1.72,17.44,0.557,1.86,0.57,0.64,3.0,3.43,0.36,0.14,0.36,0.86,3.07,,,,,,,,,,,,-0.3573753679181039,0.12197672118345422
"FW,MF",Ligue 1,25.0,3,2,360000.0,0.2,1.67,2.94,31.18,0.78,4.12,2.84,1.57,1.47,5.2,0.78,0.78,0.39,0.29,0.49,,,,,,,,,,,,1.3199990103336146,-0.9509982137170023
DF,La Liga,23.0,0,1,1000000.0,0.0,0.34,1.2,52.89,0.762,2.78,1.2,0.62,1.82,4.17,1.63,0.96,1.29,3.36,0.82,,,,,,,,,,,,-0.3573753679181039,-0.03915533249745073
"FW,MF",Bundesliga,21.0,2,3,1880000.0,0.39,3.75,2.96,26.52,0.788,2.86,2.86,0.89,5.13,5.72,1.18,0.39,0.89,0.3,1.28,,,,,,,,,,,,-0.3573753679181039,-1.186195153891617
"FW,MF",Premier League,36.0,0,1,5438089.0,0.0,0.83,3.13,55.27,0.889,4.28,1.15,0.31,4.38,6.57,1.04,0.42,0.21,0.1,0.31,,,,,,,,,,,,-0.3573753679181039,-0.39112686579315187
DF,Serie A,31.0,1,0,1670000.0,0.03,0.26,1.04,54.65,0.832,3.42,1.02,0.39,0.55,3.03,1.33,0.99,0.86,1.9,0.83,,,,,,,,,,,,-0.3573753679181039,2.850985659222326
DF,Serie A,30.0,0,0,1150000.0,0.0,0.5,1.0,58.09,0.844,3.74,0.25,0.17,0.66,0.75,1.83,0.91,1.33,2.99,2.58,,,,,,,,,,,,-0.3573753679181039,-0.7891996323539054
DF,Serie A,21.0,0,0,740000.0,0.0,0.32,1.7,48.09,0.79,3.62,1.49,0.21,0.32,0.53,1.7,2.02,1.06,4.04,1.49,,,,,,,,,,,,-0.3573753679181039,-1.1034129390266598
FW,Ligue 1,27.0,1,0,2730000.0,0.17,1.65,5.61,46.9,0.736,4.29,3.96,2.81,3.47,9.91,1.16,0.99,0.5,0.33,0.99,,,,,,,,,,,,-0.3573753679181039,-1.6517797028502286
DF,Premier League,33.0,0,2,2114812.0,0.0,0.08,1.41,42.9,0.764,3.57,1.14,0.16,0.51,1.65,1.53,0.86,1.14,2.55,0.78,,,,,,,,,,,,-0.3573753679181039,1.2607159337065257
DF,Premier League,29.0,0,0,3323277.0,0.0,0.4,1.04,85.6,0.91,6.25,1.2,0.0,0.8,0.16,1.2,1.2,0.96,3.36,2.48,,,,,,,,,,,,-0.3573753679181039,-0.753430473460389
"FW,MF",Premier League,28.0,2,3,3927509.0,0.19,2.08,3.21,31.76,0.661,3.21,6.81,3.03,4.73,10.21,1.13,0.19,0.38,1.51,2.08,,,,,,,,,,,,-0.3573753679181039,-1.7864431933039577
"FW,MF",Serie A,26.0,9,6,2310000.0,0.4,3.13,4.59,39.81,0.748,4.73,3.82,1.75,6.15,11.28,0.95,0.4,0.91,0.04,0.8,,,,,,,,,,,,-0.3573753679181039,0.787082827127408
"FW,MF",La Liga,29.0,0,0,3200000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.4553924058425247
"FW,MF",La Liga,32.0,3,1,960000.0,0.11,2.26,3.75,33.81,0.646,2.12,3.25,1.77,2.3,5.98,2.26,0.6,1.27,0.5,0.88,,,,,,,,,,,,1.3199990103336146,1.961101706953146
"FW,MF",Bundesliga,26.0,1,1,180000.0,0.09,1.11,2.68,39.83,0.722,2.68,1.57,1.94,2.86,3.97,2.03,0.37,1.57,1.39,1.66,,,,,,,,,,,,-0.3573753679181039,-0.5298960294092282
"FW,MF",Ligue 1,24.0,0,1,200000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.600012504327641
MF,Serie A,29.0,5,3,8970000.0,0.15,1.42,2.27,41.41,0.818,4.27,2.73,1.0,2.82,3.7,2.09,0.79,0.88,1.3,1.88,,,,,,,,,,,,-0.3573753679181039,1.8649818727362721
"MF,DF",Serie A,30.0,0,2,1280000.0,0.0,0.4,1.5,52.01,0.858,3.68,1.09,0.57,0.85,1.98,1.5,1.9,1.01,1.13,1.25,,,,,,,,,,,,-0.3573753679181039,1.1583055619615348
MF,Ligue 1,30.0,1,2,1080000.0,0.22,2.28,4.72,49.0,0.754,4.72,1.44,0.89,5.38,7.93,1.44,0.5,1.39,0.83,1.0,,,,,,,,,,,,-0.3573753679181039,0.050257244691153204
DF,Ligue 1,22.0,1,2,1000000.0,0.07,0.86,1.89,56.26,0.789,4.23,2.3,0.93,1.86,7.22,1.44,0.65,1.31,1.99,0.55,,,,,,,,,,,,-0.3573753679181039,1.313667698091948
"MF,DF",La Liga,23.0,0,0,160000.0,0.0,0.52,1.78,50.63,0.825,4.5,2.3,1.52,0.74,1.95,1.91,0.87,0.78,1.65,0.52,,,,,,,,,,,,-0.3573753679181039,-1.3739604390492612
DF,La Liga,26.0,1,4,1100000.0,0.05,0.64,2.18,45.77,0.728,3.04,1.95,0.68,1.04,5.95,2.23,0.86,1.04,2.68,0.5,,,,,,,,,,,,-0.3573753679181039,0.4620607128779629
"FW,MF",Ligue 1,23.0,0,0,900000.0,0.1,1.4,4.69,44.8,0.813,6.19,4.79,3.29,3.39,7.98,3.59,0.7,2.0,0.4,0.7,,,,,,,,,,,,-0.3573753679181039,-2.3181543372957214
MF,Serie A,24.0,1,0,350000.0,0.12,1.85,2.34,36.57,0.835,3.45,1.72,1.48,1.11,2.71,1.6,0.49,0.49,0.86,0.74,,,,,,,,,,,,-0.3573753679181039,-1.232754359816826
DF,Serie A,26.0,0,0,280000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.3492221878900192
DF,La Liga,26.0,0,2,860000.0,0.0,0.56,1.67,58.06,0.748,4.45,1.82,0.76,0.51,2.53,2.58,0.71,1.26,2.58,1.57,,,,,,,,,,,,-0.3573753679181039,-0.5417254368507953
"MF,DF",Ligue 1,26.0,1,4,2200000.0,0.0,1.07,2.01,49.59,0.832,4.72,1.64,1.01,2.58,5.16,2.14,1.07,1.01,1.83,1.13,,,,,,,,,,,,1.3199990103336146,0.03557832474700022
GK,La Liga,33.0,0,0,700000.0,,,,,0.0,,,,,,,,,,,1.26,7.14,0.0,2.86,36.08,5.81,4.63,53.5,0.3,1.83,20.6,-0.3573753679181039,-2.1225175306089135
"DF,FW",La Liga,28.0,2,1,600000.0,0.18,1.22,2.93,53.13,0.791,4.83,2.02,2.02,2.26,4.52,3.36,1.22,0.98,2.32,0.24,,,,,,,,,,,,-0.3573753679181039,-0.7779868636627569
GK,Ligue 1,22.0,0,0,640000.0,,,,,0.0,,,,,,,,,,,1.71,6.14,3.33,1.43,36.07,3.55,3.5,34.3,0.97,1.5,13.7,-0.3573753679181039,-0.512565636667379
FW,Ligue 1,21.0,0,2,270000.0,0.0,0.78,2.05,20.06,0.655,1.95,1.75,1.17,3.7,5.94,0.58,0.29,0.68,0.49,0.39,,,,,,,,,,,,-0.3573753679181039,-0.7877435524438785
"FW,MF",Bundesliga,31.0,7,4,4720000.0,0.29,2.58,3.78,37.28,0.699,5.54,2.68,1.0,4.11,7.41,0.76,0.14,0.53,0.29,0.72,,,,,,,,,,,,1.3199990103336146,0.9988816394412454
GK,Ligue 1,25.0,0,0,1500000.0,,,,,0.0,,,,,,,,,,,1.48,7.11,0.0,2.76,38.0,3.51,6.15,48.3,0.84,1.14,12.9,-0.3573753679181039,1.6458280362569702
"FW,MF",Serie A,26.0,14,3,1540000.0,0.31,1.52,4.31,36.5,0.752,3.63,2.33,1.24,2.05,4.99,0.68,0.34,0.47,0.4,0.09,,,,,,,,,,,,7.139493811486665,2.5242014022665664
MF,Premier League,24.0,1,3,3021160.0,0.07,0.59,1.93,53.12,0.877,4.82,2.08,0.82,0.82,0.89,2.15,0.74,1.71,1.04,0.96,,,,,,,,,,,,-0.3573753679181039,-0.3783728772595016
FW,Serie A,28.0,1,0,1020000.0,0.17,1.74,1.4,22.15,0.512,1.4,0.52,0.17,3.14,4.01,0.52,0.52,0.52,1.22,6.8,,,,,,,,,,,,-0.3573753679181039,-1.4668451696501723
DF,Serie A,25.0,2,4,740000.0,0.06,0.75,0.81,39.56,0.8,2.68,0.25,0.16,1.06,0.06,1.71,1.31,1.56,5.3,3.43,,,,,,,,,,,,-0.3573753679181039,2.6121807827040673
MF,Serie A,29.0,0,1,1300000.0,0.0,1.19,1.28,43.26,0.813,3.48,0.73,0.32,0.96,0.73,1.33,1.83,1.33,2.06,1.28,,,,,,,,,,,,-0.3573753679181039,0.8223812549750721
"FW,MF",La Liga,20.0,3,3,190000.0,0.12,1.46,2.86,37.17,0.783,3.62,4.09,2.81,2.75,9.29,0.82,0.41,0.58,0.58,0.06,,,,,,,,,,,,-0.3573753679181039,0.6536046047881191
DF,La Liga,31.0,2,2,1400000.0,0.1,1.11,2.12,46.81,0.81,3.72,1.98,0.43,1.59,5.07,1.93,1.21,0.82,1.98,0.58,,,,,,,,,,,,-0.3573753679181039,0.3437989114600734
"FW,MF",La Liga,33.0,0,0,720000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.909249568291665
MF,La Liga,25.0,0,0,580000.0,0.4,1.79,2.49,31.4,0.756,4.49,1.5,0.5,3.19,6.38,2.09,0.1,1.0,0.8,1.1,,,,,,,,,,,,-0.3573753679181039,-2.9605412109028686
MF,La Liga,26.0,3,6,720000.0,0.09,1.05,3.71,81.56,0.869,8.15,1.52,0.38,0.47,1.4,1.31,1.02,1.29,1.49,0.47,,,,,,,,,,,,-0.3573753679181039,2.860569434526032
DF,La Liga,20.0,0,1,1670000.0,0.0,0.47,1.75,57.83,0.858,3.35,5.48,1.51,2.93,9.31,1.46,0.28,0.9,1.32,0.66,,,,,,,,,,,,-0.3573753679181039,-0.3290830607634235
"MF,DF",La Liga,25.0,0,0,720000.0,0.0,0.36,2.48,51.7,0.73,3.93,1.75,0.29,1.02,4.95,1.67,0.66,1.09,2.04,0.58,,,,,,,,,,,,-0.3573753679181039,-0.7471898248640452
FW,Premier League,29.0,0,0,4867655.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.9444500978211594
DF,La Liga,30.0,0,0,300000.0,0.0,0.18,0.36,31.15,0.93,0.91,0.0,0.0,0.36,0.18,1.09,1.82,1.46,7.83,2.37,,,,,,,,,,,,-0.3573753679181039,-1.8769033761302882
DF,La Liga,32.0,1,0,730000.0,0.1,0.38,0.86,38.53,0.847,2.47,0.57,0.19,0.57,0.1,1.33,1.24,0.76,4.09,1.62,,,,,,,,,,,,-0.3573753679181039,-1.2097601930705073
"FW,MF",Ligue 1,27.0,6,6,4800000.0,0.24,1.77,4.37,50.98,0.752,7.2,2.12,0.98,1.97,6.57,1.81,0.83,1.46,0.55,0.51,,,,,,,,,,,,-0.3573753679181039,1.093324470884279
"FW,MF",Serie A,28.0,3,5,2780000.0,0.16,2.34,5.01,41.54,0.725,4.79,2.56,0.98,3.59,7.89,0.98,0.27,0.54,0.44,0.49,,,,,,,,,,,,-0.3573753679181039,-0.26890529891748227
DF,Serie A,24.0,3,0,1480000.0,0.1,0.48,0.86,43.9,0.848,2.29,0.51,0.0,0.75,0.41,2.36,2.53,0.72,4.66,2.91,,,,,,,,,,,,-0.3573753679181039,1.6078530093841366
MF,Serie A,28.0,0,0,740000.0,0.0,1.23,1.54,28.94,0.688,3.5,0.49,0.18,1.17,1.11,1.84,0.49,0.92,1.97,1.97,,,,,,,,,,,,-0.3573753679181039,0.37303372680273617
"MF,DF",Serie A,24.0,0,0,280000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-1.909995935998635
DF,Serie A,33.0,1,3,5560000.0,0.04,1.71,3.91,67.56,0.821,5.43,1.71,0.18,0.76,2.42,2.29,1.03,0.99,1.48,0.45,,,,,,,,,,,,-0.3573753679181039,0.6650923078887798
GK,Serie A,22.0,0,0,170000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.178585496678582
DF,Serie A,25.0,0,1,190000.0,0.0,0.45,1.98,49.82,0.785,4.14,0.72,0.27,0.81,1.08,1.71,2.34,1.35,2.88,2.16,,,,,,,,,,,,-0.3573753679181039,-0.5746533284695781
DF,Serie A,23.0,0,2,740000.0,0.0,0.25,2.17,44.08,0.755,3.26,2.76,0.84,1.51,4.35,1.59,0.42,1.34,2.09,0.59,,,,,,,,,,,,-0.3573753679181039,-1.023628023914232
GK,Serie A,29.0,0,0,1850000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.686406778150169
