Player Name,Nationality,Position,League,Age,Matches,Starts,Minutes,Goals,Assists,Penalty_made,Penalty_attempted,,,,,,,,,
Marco Pellegrino,,DF,Serie A,,9,5,529,0,0,0,0,,,,,,,,,
Marco Pellegrino,,DF,Serie A,,1,0,68,0,0,0,0,,,,,,,,,
Max Moerstedt,GER,FW,Bundesliga,,1,0,12,0,0,0,0,,,,,,,,,
Max Svensson,ESP,FW,La Liga,,1,0,3,0,0,0,0,,,,,,,,,
Danilo,BRA,MF,Premier League,23,28,19,"1,713",2,2,0,0,,,,,,,,,
Danilo,BRA,DF,Serie A,32,27,25,"2,272",1,1,0,0,,,,,,,,,
Fernando,ESP,GK,La Liga,33,2,2,180,0,0,0,0,,,,,,,,,
Fernando,BRA,MF,La Liga,36,8,5,459,0,0,0,0,,,,,,,,,
Mamadou Coulibaly,SEN,DF,Serie A,25,1,0,3,0,0,0,0,,,,,,,,,
Mamadou Coulibaly,FRA,MF,Ligue 1,20,4,0,73,0,0,0,0,,,,,,,,,
Marquinhos,BRA,"FW,MF",Ligue 1,21,7,1,154,0,0,0,0,,,,,,,,,
Marquinhos,BRA,DF,Ligue 1,30,21,18,"1,537",0,1,0,0,,,,,,,,,
Rodri,ESP,MF,Premier League,27,33,33,"2,841",7,9,0,0,,,,,,,,,
Rodri,ESP,"FW,MF",La Liga,24,27,8,935,0,0,0,0,,,,,,,,,
Stefan Mitrović,SRB,"FW,MF",Serie A,21,9,3,318,0,0,0,0,,,,,,,,,
Stefan Mitrović,SRB,DF,La Liga,33,11,9,699,1,0,0,0,,,,,,,,,
Ørjan Nyland,NOR,GK,La Liga,33,22,22,"1,980",0,0,0,0,,,,,,,,,
Ângelo Borges,BRA,"FW,MF",Ligue 1,19,21,11,"1,094",0,3,0,0,,,,,,,,,
Óliver Torres,ESP,MF,La Liga,29,27,18,"1,616",0,1,0,0,,,,,,,,,
Óscar de Marcos,ESP,DF,La Liga,35,27,25,"2,168",1,4,0,0,,,,,,,,,
Óscar Melendo,ESP,"MF,FW",La Liga,26,25,15,"1,104",0,0,0,0,,,,,,,,,
Óscar Mingueza,ESP,"DF,MF",La Liga,25,36,31,"2,818",2,2,0,0,,,,,,,,,
Óscar Rodríguez Arnaiz,ESP,"MF,FW",La Liga,25,23,8,901,2,0,0,0,,,,,,,,,
Óscar Trejo,ARG,"FW,MF",La Liga,36,30,18,"1,313",0,0,0,0,,,,,,,,,
Óscar Valentín,ESP,MF,La Liga,29,33,31,"2,631",1,0,0,0,,,,,,,,,
İlkay Gündoğan,GER,MF,La Liga,33,34,31,"2,814",5,8,1,2,,,,,,,,,
Çağlar Söyüncü,TUR,DF,La Liga,27,6,1,114,0,0,0,0,,,,,,,,,
Éder Militão,BRA,DF,La Liga,26,8,5,409,0,0,0,0,,,,,,,,,
Éderson,BRA,MF,Serie A,24,35,31,"2,779",6,1,0,0,,,,,,,,,
Édgar González,ESP,"DF,MF",La Liga,27,29,28,"2,387",2,0,0,0,,,,,,,,,
Érik Lamela,ARG,"FW,MF",La Liga,32,13,5,463,2,0,0,0,,,,,,,,,
Étienne Capoue,FRA,MF,La Liga,35,31,15,"1,437",1,1,0,0,,,,,,,,,
Álex Berenguer,ESP,FW,La Liga,28,33,14,"1,486",7,2,1,1,,,,,,,,,
Álex Centelles,ESP,DF,La Liga,26,13,10,899,0,1,0,0,,,,,,,,,
Álex Fernández,ESP,MF,La Liga,31,25,13,"1,222",0,0,0,0,,,,,,,,,
Álex Grimaldo,ESP,DF,Bundesliga,28,33,31,"2,784",10,13,0,0,,,,,,,,,
Álex Moreno,ESP,DF,Premier League,30,21,11,"1,031",2,0,0,0,,,,,,,,,
Álex Remiro,ESP,GK,La Liga,29,35,35,"3,095",0,0,0,0,,,,,,,,,
Álex Suárez,ESP,DF,La Liga,31,30,29,"2,475",2,0,0,0,,,,,,,,,
Álvaro Carreras,ESP,"MF,FW",La Liga,21,13,5,475,0,0,0,0,,,,,,,,,
Álvaro García,ESP,"FW,MF",La Liga,31,30,28,"2,310",6,1,0,0,,,,,,,,,
Álvaro Lemos,ESP,DF,La Liga,31,3,2,194,0,0,0,0,,,,,,,,,
Álvaro Morata,ESP,FW,La Liga,31,30,21,"1,838",14,2,0,1,,,,,,,,,
Álvaro Muñoz,URU,FW,La Liga,19,1,0,1,0,0,0,0,,,,,,,,,
Álvaro Negredo,ESP,"FW,MF",La Liga,38,7,0,54,0,0,0,0,,,,,,,,,
Álvaro Odriozola,ESP,DF,La Liga,28,9,6,393,0,0,0,0,,,,,,,,,
Álvaro Vallés,ESP,GK,La Liga,26,35,35,"3,083",0,0,0,0,,,,,,,,,
Ángel Correa,ARG,"FW,MF",La Liga,29,30,12,"1,405",9,2,1,1,,,,,,,,,
Đorđe Petrović,SRB,GK,Premier League,24,22,21,"1,897",0,0,0,0,,,,,,,,,
Łukasz Fabiański,POL,GK,Premier League,39,10,7,721,0,0,0,0,,,,,,,,,
Łukasz Skorupski,POL,GK,Serie A,33,31,31,"2,790",0,0,0,0,,,,,,,,,
Aïman Maurer,MAR,"MF,FW",Ligue 1,19,5,0,56,0,0,0,0,,,,,,,,,
Aïssa Laïdouni,TUN,MF,Bundesliga,27,23,10,"1,071",0,3,0,0,,,,,,,,,
Aïssa Mandi,ALG,DF,La Liga,32,15,11,"1,023",1,0,0,0,,,,,,,,,
Aarón Escandell,ESP,GK,La Liga,28,2,1,153,0,0,0,0,,,,,,,,,
Aarón Martín,ESP,DF,Serie A,27,20,15,"1,196",0,0,0,0,,,,,,,,,
Aaron Cresswell,ENG,"DF,FW",Premier League,34,10,3,346,0,0,0,0,,,,,,,,,
Aaron Hickey,SCO,DF,Premier League,21,9,9,713,0,0,0,0,,,,,,,,,
Aaron Malouda,FRA,FW,Ligue 1,18,1,0,1,0,0,0,0,,,,,,,,,
Aaron Ramsdale,ENG,GK,Premier League,26,6,6,540,0,0,0,0,,,,,,,,,
Aaron Ramsey,ENG,"MF,FW",Premier League,21,14,5,527,0,0,0,0,,,,,,,,,
Aaron Seydel,GER,FW,Bundesliga,28,16,5,619,1,0,0,0,,,,,,,,,
Aaron Wan-Bissaka,ENG,DF,Premier League,26,21,19,"1,690",0,2,0,0,,,,,,,,,
Abakar Sylla,CIV,DF,Ligue 1,21,21,18,"1,702",2,0,0,0,,,,,,,,,
Abdón Prats,ESP,"FW,MF",La Liga,31,32,10,"1,186",6,1,0,0,,,,,,,,,
Abdel Abqar,MAR,DF,La Liga,25,26,26,"2,267",0,0,0,0,,,,,,,,,
Abdellah Baallal,MAR,MF,Ligue 1,19,1,0,4,0,0,0,0,,,,,,,,,
Abdellah Raihani,MAR,FW,La Liga,20,1,0,10,0,0,0,0,,,,,,,,,
Abderrahman Rebbach,ALG,"FW,MF",La Liga,25,22,6,708,1,0,0,0,,,,,,,,,
Abdou Harroui,NED,"MF,FW",Serie A,26,16,11,864,3,2,1,1,,,,,,,,,
Abdoul Kader Bamba,FRA,"FW,MF",Ligue 1,29,22,1,582,2,1,0,0,,,,,,,,,
Abdoul Koné,FRA,DF,Ligue 1,19,2,2,124,0,0,0,0,,,,,,,,,
Abdoulaye Doucouré,MLI,"FW,MF",Premier League,31,31,31,"2,540",7,1,0,0,,,,,,,,,
Abdoulaye Touré,GUI,MF,Ligue 1,30,29,26,"2,212",2,0,2,2,,,,,,,,,
Abdul Mumin,GHA,DF,La Liga,25,19,18,"1,604",1,0,0,0,,,,,,,,,
Abduqodir Xusanov,UZB,DF,Ligue 1,20,10,8,728,0,0,0,0,,,,,,,,,
Ablie Jallow,GAM,"MF,FW",Ligue 1,25,17,10,918,3,2,1,1,,,,,,,,,
Abner,BRA,DF,La Liga,23,23,15,"1,400",0,1,0,0,,,,,,,,,
Abou Lô,SEN,"MF,DF",Ligue 1,24,6,2,197,0,0,0,0,,,,,,,,,
