position,league,age,matches,starts,minutes,goals,annual_wage,non_penalty_goals,shots_total,assists,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,penalty_play
"DF,FW",Premier League,34.0,10,3,346,0,3021160.0,0.11,0.11,0.0,2.16,64.15,0.831,5.08,0.97,0.0,0.43,2.49,0.76,0.54,0.76,1.84,1.41,-0.1817345838594327
DF,Premier League,21.0,9,9,713,0,1812696.0,0.0,0.72,0.1,0.83,34.55,0.865,2.48,1.45,0.62,0.93,1.66,1.66,0.31,0.83,1.34,0.21,-0.1817345838594364
"FW,MF",Premier League,21.0,14,5,527,0,1510580.0,0.0,1.02,0.0,0.85,25.79,0.781,1.37,1.37,0.51,1.54,2.9,2.9,0.17,1.88,1.71,0.68,-0.1817345838594364
FW,Bundesliga,28.0,16,5,619,1,120000.0,0.15,2.04,0.0,1.89,27.63,0.579,1.45,1.02,0.44,4.51,5.09,0.44,0.15,1.16,1.31,6.54,-0.1817345838594364
DF,Premier League,26.0,21,19,1690,0,5438089.0,0.0,0.22,0.13,1.3,50.27,0.837,3.85,1.43,0.82,1.51,2.77,2.38,2.16,1.34,3.5,0.99,-0.1817345838594364
DF,Serie A,27.0,20,15,1196,0,1280000.0,0.0,0.35,0.0,2.09,40.43,0.691,2.23,1.6,0.42,0.56,4.53,1.46,0.49,0.84,1.12,0.42,-0.1817345838594364
DF,Ligue 1,21.0,21,18,1702,2,900000.0,0.11,0.58,0.0,0.63,64.57,0.88,3.7,0.42,0.48,0.95,0.11,2.75,1.37,1.96,3.38,1.64,-0.1817345838594364
"FW,MF",Serie A,26.0,16,11,864,3,770000.0,0.18,2.25,0.18,3.06,34.5,0.799,3.06,3.24,1.98,2.34,4.5,1.71,0.36,1.53,0.63,0.9,0.4216341450330366
"FW,MF",Ligue 1,29.0,22,1,582,2,320000.0,0.31,2.01,0.15,5.41,49.33,0.796,4.64,6.03,1.55,3.87,10.67,1.55,0.62,0.62,0.62,0.93,-0.1817345838594364
"FW,MF",Premier League,31.0,31,31,2540,7,7855017.0,0.26,1.65,0.03,2.35,30.04,0.756,3.21,1.89,0.79,3.44,4.83,1.42,0.53,0.83,0.56,0.83,-0.1817345838594364
MF,Ligue 1,30.0,29,26,2212,2,1100000.0,0.0,1.26,0.0,1.79,48.74,0.831,5.94,0.85,1.18,0.69,0.98,1.83,1.02,1.22,1.3,1.71,1.0250028739255097
DF,La Liga,25.0,19,18,1604,1,350000.0,0.05,0.35,0.0,0.4,39.85,0.797,2.02,0.35,0.05,0.61,0.2,1.06,1.16,1.46,4.34,1.92,-0.1817345838594364
"FW,MF",La Liga,31.0,32,10,1186,6,380000.0,0.43,2.14,0.07,1.72,17.44,0.557,1.86,0.57,0.64,3.0,3.43,0.36,0.14,0.36,0.86,3.07,-0.1817345838594364
"FW,MF",Ligue 1,25.0,17,10,918,3,360000.0,0.2,1.67,0.2,2.94,31.18,0.78,4.12,2.84,1.57,1.47,5.2,0.78,0.78,0.39,0.29,0.49,0.4216341450330366
DF,La Liga,23.0,23,15,1400,0,1000000.0,0.0,0.34,0.05,1.2,52.89,0.762,2.78,1.2,0.62,1.82,4.17,1.63,0.96,1.29,3.36,0.82,-0.1817345838594364
DF,Ligue 1,25.0,25,20,1932,4,14550000.0,0.15,1.77,0.18,4.38,90.3,0.858,9.11,3.69,1.08,2.85,10.55,1.5,0.72,1.14,1.35,0.6,-0.1817345838594364
"FW,MF",Bundesliga,21.0,23,5,459,2,1880000.0,0.39,3.75,0.39,2.96,26.52,0.788,2.86,2.86,0.89,5.13,5.72,1.18,0.39,0.89,0.3,1.28,-0.1817345838594364
"FW,MF",Premier League,36.0,24,12,794,0,5438089.0,0.0,0.83,0.1,3.13,55.27,0.889,4.28,1.15,0.31,4.38,6.57,1.04,0.42,0.21,0.1,0.31,-0.1817345838594364
DF,Serie A,31.0,35,35,2920,1,1670000.0,0.03,0.26,0.0,1.04,54.65,0.832,3.42,1.02,0.39,0.55,3.03,1.33,0.99,0.86,1.9,0.83,-0.1817345838594364
DF,Serie A,30.0,154,91,998,0,1150000.0,0.0,0.5,0.0,1.0,58.09,0.844,3.74,0.25,0.17,0.66,0.75,1.83,0.91,1.33,2.99,2.58,-0.1817345838594364
DF,Serie A,21.0,15,9,846,0,740000.0,0.0,0.32,0.0,1.7,48.09,0.79,3.62,1.49,0.21,0.32,0.53,1.7,2.02,1.06,4.04,1.49,-0.1817345838594364
FW,Ligue 1,27.0,17,3,418,1,2730000.0,0.17,1.65,0.0,5.61,46.9,0.736,4.29,3.96,2.81,3.47,9.91,1.16,0.99,0.5,0.33,0.99,-0.1817345838594364
DF,Premier League,33.0,28,25,2150,0,2114812.0,0.0,0.08,0.08,1.41,42.9,0.764,3.57,1.14,0.16,0.51,1.65,1.53,0.86,1.14,2.55,0.78,-0.1817345838594364
DF,Premier League,29.0,14,12,1054,0,3323277.0,0.0,0.4,0.0,1.04,85.6,0.91,6.25,1.2,0.0,0.8,0.16,1.2,1.2,0.96,3.36,2.48,-0.1817345838594364
"FW,MF",Premier League,28.0,16,0,299,1,3927509.0,0.19,2.08,0.38,3.21,31.76,0.661,3.21,6.81,3.03,4.73,10.21,1.13,0.19,0.38,1.51,2.08,-0.1817345838594364
"FW,MF",Serie A,26.0,29,20,1749,9,2310000.0,0.4,3.13,0.33,4.59,39.81,0.748,4.73,3.82,1.75,6.15,11.28,0.95,0.4,0.91,0.04,0.8,-0.1817345838594364
"FW,MF",La Liga,29.0,8,0,193,0,3200000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"FW,MF",La Liga,32.0,34,28,2377,3,960000.0,0.11,2.26,0.04,3.75,33.81,0.646,2.12,3.25,1.77,2.3,5.98,2.26,0.6,1.27,0.5,0.88,0.4216341450330366
