,Player Name,Nationality,Position,League,Age,Matches,Starts,Minutes,Goals,Assists_x,Penalty_made,Penalty_attempted,Club,Annual wage in EUR,Non-Penalty Goals,Shots Total,Assists_y,Shot-Creating Actions,Passes Attempted,Pass Completion ,Progressive Passes,Progressive Carries,Successful Take-Ons,Touches (Att Pen),Progressive Passes Rec,Tackles,Interceptions,Blocks,Clearances,Aerials Won,Goals Against,Save Percentage,Save% (Penalty Kicks),Clean Sheet Percentage,Touches,Launch %,Goal Kicks,Avg. Length of Goal Kicks,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
0,Aaron Cresswell,ENG,"DF,FW",Premier League,34.0,11,4,436,0,0,0,0,West Ham United,3021160.0,0.11,0.11,0.0,2.16,64.15,0.831,5.08,0.97,0.0,0.43,2.49,0.76,0.54,0.76,1.84,1.41,,,,,,,,,,,
1,Aaron Hickey,SCO,DF,Premier League,21.0,9,9,713,0,0,0,0,Brentford,1812696.0,0.0,0.72,0.1,0.83,34.55,0.865,2.48,1.45,0.62,0.93,1.66,1.66,0.31,0.83,1.34,0.21,,,,,,,,,,,
2,Aaron Malouda,FRA,FW,Ligue 1,18.0,1,0,1,0,0,0,0,Lille,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
3,Aaron Ramsdale,ENG,GK,Premier League,26.0,6,6,540,0,0,0,0,Arsenal,7250785.0,,,,,,0.0,,,,,,,,,,,0.78,6.67,,3.33,33.11,3.02,3.33,38.2,1.32,1.0,13.5
4,Aaron Ramsey,ENG,"FW,MF",Premier League,21.0,14,5,527,0,0,0,0,Burnley,1510580.0,0.0,1.02,0.0,0.85,25.79,0.781,1.37,1.37,0.51,1.54,2.9,2.9,0.17,1.88,1.71,0.68,,,,,,,,,,,
5,Aaron Seydel,GER,FW,Bundesliga,28.0,16,5,619,1,0,0,0,Darmstadt 98,120000.0,0.15,2.04,0.0,1.89,27.63,0.579,1.45,1.02,0.44,4.51,5.09,0.44,0.15,1.16,1.31,6.54,,,,,,,,,,,
6,Aaron Wan-Bissaka,ENG,DF,Premier League,26.0,22,20,1780,0,2,0,0,Manchester United,5438089.0,0.0,0.22,0.13,1.3,50.27,0.837,3.85,1.43,0.82,1.51,2.77,2.38,2.16,1.34,3.5,0.99,,,,,,,,,,,
7,Aarón Escandell,ESP,GK,La Liga,28.0,2,1,153,0,0,0,0,Las Palmas,500000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
8,Aarón Martín,ESP,DF,Serie A,27.0,21,16,1286,0,0,0,0,Genoa,1280000.0,0.0,0.35,0.0,2.09,40.43,0.691,2.23,1.6,0.42,0.56,4.53,1.46,0.49,0.84,1.12,0.42,,,,,,,,,,,
9,Abakar Sylla,CIV,DF,Ligue 1,21.0,22,19,1792,2,0,0,0,Strasbourg,900000.0,0.11,0.58,0.0,0.63,64.57,0.88,3.7,0.42,0.48,0.95,0.11,2.75,1.37,1.96,3.38,1.64,,,,,,,,,,,
