Player Name,Nationality,Position,League,Age,Matches,Starts,Minutes,Goals,Assists,Penalty_made,Penalty_attempted
Aaron Cresswell,ENG,"DF,FW",Premier League,34,10,3,346,0,0,0,0
Aaron Hickey,SCO,DF,Premier League,21,9,9,713,0,0,0,0
Aaron Malouda,FRA,FW,Ligue 1,18,1,0,1,0,0,0,0
Aaron Ramsdale,ENG,GK,Premier League,26,6,6,540,0,0,0,0
Aaron Ramsey,ENG,"MF,FW",Premier League,21,14,5,527,0,0,0,0
Aaron Seydel,GER,FW,Bundesliga,28,16,5,619,1,0,0,0
Aaron Wan-Bissaka,ENG,DF,Premier League,26,21,19,1690,0,2,0,0
Aarón Escandell,ESP,GK,La Liga,28,2,1,153,0,0,0,0
Aarón Martín,ESP,DF,Serie A,27,20,15,1196,0,0,0,0
Abakar Sylla,CIV,DF,Ligue 1,21,21,18,1702,2,0,0,0
Abdel Abqar,MAR,DF,La Liga,25,26,26,2267,0,0,0,0
Abdellah Baallal,MAR,MF,Ligue 1,19,1,0,4,0,0,0,0
Abdellah Raihani,MAR,FW,La Liga,20,1,0,10,0,0,0,0
Abderrahman Rebbach,ALG,"FW,MF",La Liga,25,22,6,708,1,0,0,0
Abdessamad Ezzalzouli,MAR,FW,La Liga,22,242,60,891,10,00,00,00
Abdou Harroui,NED,"MF,FW",Serie A,26,16,11,864,3,2,1,1
Abdoul Kader Bamba,FRA,"FW,MF",Ligue 1,29,22,1,582,2,1,0,0
Abdoul Koné,FRA,DF,Ligue 1,19,2,2,124,0,0,0,0
Abdoulaye Doucouré,MLI,"FW,MF",Premier League,31,31,31,2540,7,1,0,0
Abdoulaye Touré,GUI,MF,Ligue 1,30,29,26,2212,2,0,2,2
Abdul Mumin,GHA,DF,La Liga,25,19,18,1604,1,0,0,0
Abduqodir Xusanov,UZB,DF,Ligue 1,20,10,8,728,0,0,0,0
Abdón Prats,ESP,"FW,MF",La Liga,31,32,10,1186,6,1,0,0
Ablie Jallow,GAM,"MF,FW",Ligue 1,25,17,10,918,3,2,1,1
Abner,BRA,DF,La Liga,23,23,15,1400,0,1,0,0
Abou Lô,SEN,"MF,DF",Ligue 1,24,6,2,197,0,0,0,0
Aboubacar Ali,FRA,"FW,MF",Ligue 1,18,8,1,108,0,1,0,0
Achraf Dari,MAR,"DF,FW",Ligue 1,25,4,1,121,0,0,0,0
Achraf Hakimi,MAR,DF,Ligue 1,25,25,20,1932,4,5,0,0
Adam Hložek,CZE,"MF,FW",Bundesliga,21,23,5,459,2,3,0,0
Adam Lallana,ENG,"MF,FW",Premier League,36,24,12,794,0,1,0,0
Adam Marušić,MNE,DF,Serie A,31,35,35,2920,1,0,0,0
Adam Masina,MAR,DF,Serie A,30,154,91,998,00,00,00,00
Adam Obert,SVK,DF,Serie A,21,15,9,846,0,0,0,0
Adam Ounas,ALG,FW,Ligue 1,27,17,3,418,1,0,0,0
Adam Smith,ENG,DF,Premier League,33,28,25,2150,0,2,0,0
Adam Webster,ENG,DF,Premier League,29,14,12,1054,0,0,0,0
Adam Wharton,ENG,MF,Premier League,19,15,14,1211,0,3,0,0
Adama Bojang,GAM,FW,Ligue 1,19,9,0,83,0,0,0,0
Adama Traoré,ESP,"FW,MF",Premier League,28,16,0,299,1,2,0,0
Adel Mahamoud,COM,FW,Ligue 1,21,1,0,10,0,0,0,0
Ademola Lookman,NGA,"FW,MF",Serie A,26,29,20,1749,9,6,0,0
Adnan Januzaj,BEL,"FW,MF",La Liga,29,8,0,193,0,0,0,0
Adri Bosch,ESP,DF,La Liga,22,1,0,26,0,0,0,0
Adri Embarba,ESP,"FW,MF",La Liga,32,34,28,2377,3,1,1,1
Adrian Beck,GER,"MF,FW",Bundesliga,26,23,11,974,1,1,0,0
Adrian Grbić,AUT,FW,Ligue 1,27,1,0,31,0,0,0,0
Adrien Lebeau,FRA,"MF,FW",Ligue 1,24,7,0,54,0,1,0,0
Adrien Rabiot,FRA,MF,Serie A,29,30,29,2581,5,3,0,0
Adrien Tameze,CMR,"DF,MF",Serie A,30,28,24,2075,0,2,0,0
Adrien Thomasson,FRA,MF,Ligue 1,30,28,13,1172,1,2,0,0
Adrien Truffert,FRA,DF,Ligue 1,22,29,23,2055,1,2,0,0
Adrià Altimira,ESP,"DF,MF",La Liga,23,11,10,775,0,0,0,0
Adrià Pedrosa,ESP,DF,La Liga,26,29,14,1618,1,4,0,0
Adryelson,BRA,"DF,FW",Ligue 1,26,2,0,6,0,0,0,0
Adson,BRA,"MF,FW",Ligue 1,23,8,2,238,0,0,0,0
Adu Ares,ESP,FW,La Liga,22,12,2,265,0,0,0,0
Agustín Martegani,ARG,MF,Serie A,23,18,6,731,1,0,0,0
Ahmed Touba,ALG,DF,Serie A,26,6,3,277,0,0,0,0
Aiham Ousou,SYR,DF,La Liga,24,6,5,430,0,0,0,0
Aihen Muñoz,ESP,DF,La Liga,26,21,11,1127,0,2,0,0
Aimar Oroz,ESP,MF,La Liga,22,31,25,2200,1,1,1,1
Ainsley Maitland-Niles,ENG,"DF,MF",Ligue 1,26,22,16,1430,1,4,1,1
Aitor Fernández,ESP,GK,La Liga,33,6,5,461,0,0,0,0
Aitor Paredes,ESP,DF,La Liga,24,33,30,2614,1,0,0,0
Aitor Ruibal,ESP,"DF,FW",La Liga,28,18,11,1017,2,1,0,0
Akor Adams,NGA,FW,Ligue 1,24,31,26,2174,8,1,0,0
Alaa Bellaarouch,MAR,GK,Ligue 1,22,14,14,1260,0,0,0,0
Alan Matturro,URU,DF,Serie A,19,5,1,92,0,0,0,0
Alan Virginius,FRA,FW,Ligue 1,21,132,111,924,00,20,00,00
Alassane Pléa,FRA,"FW,MF",Bundesliga,31,27,24,1913,7,4,1,1
Alban Lafont,FRA,GK,Ligue 1,25,27,27,2406,0,0,0,0
